21/07/2016 21:22:45 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Desc' for language Portuguese (Brazil).
21/07/2016 21:22:45 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Name' for language Portuguese (Brazil).
21/07/2016 21:22:45 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Desc' for language Portuguese (Brazil).
21/07/2016 21:22:45 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Name' for language Portuguese (Brazil).
21/07/2016 21:22:45 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Desc' for language Portuguese (Brazil).
21/07/2016 21:22:45 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Name' for language Portuguese (Brazil).
21/07/2016 21:22:45 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Desc' for language Portuguese (Brazil).
21/07/2016 21:22:45 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Name' for language Portuguese (Brazil).
21/07/2016 21:22:45 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Desc' for language Portuguese (Brazil).
21/07/2016 21:22:45 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Name' for language Portuguese (Brazil).
21/07/2016 21:22:45 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Desc' for language Portuguese (Brazil).
