21/07/2016 21:38:43 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
21/07/2016 21:38:51 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Name' for language Portuguese (Brazil).
21/07/2016 21:38:51 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Desc' for language Portuguese (Brazil).
21/07/2016 21:38:51 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Name' for language Portuguese (Brazil).
21/07/2016 21:38:51 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Desc' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Name' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Desc' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Name' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Desc' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Name' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Desc' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Name' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.AuthorMarkAsSolution.Desc' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.FavouriteFirstPost.Name' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.FavouriteFirstPost.Desc' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.FavouriteFirstPost.Name' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.FavouriteFirstPost.Desc' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.FavouriteFirstPost.Name' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.FavouriteFirstPost.Desc' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.FavouriteFirstPost.Name' for language Portuguese (Brazil).
21/07/2016 21:38:52 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.FavouriteFirstPost.Desc' for language Portuguese (Brazil).
