22/07/2016 16:01:46 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Side.Search' for language Portuguese (Brazil).
22/07/2016 16:01:46 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Side.Search.Go' for language Portuguese (Brazil).
22/07/2016 16:01:47 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Topic.HotTopics' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Members.SearchMembers' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Buttons.Edit' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'PM.PrivateMessages' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'LogOn.LogOff' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Latest' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Following' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.PostedIn' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Favourites' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Leaderboard' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Activity' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Badges' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Site.MvcForum' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Members.SearchMembers' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Buttons.Edit' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'PM.PrivateMessages' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'LogOn.LogOff' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Latest' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Following' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.PostedIn' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Favourites' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Leaderboard' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Activity' for language Portuguese (Brazil).
22/07/2016 16:01:48 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Badges' for language Portuguese (Brazil).
22/07/2016 16:01:49 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Stats.FooterMainStatText' for language Portuguese (Brazil).
22/07/2016 16:01:49 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Stats.LatestMembers' for language Portuguese (Brazil).
22/07/2016 16:01:50 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Stats.FooterActiveUsersText' for language Portuguese (Brazil).
22/07/2016 16:01:50 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.PoweredBy' for language Portuguese (Brazil).
22/07/2016 16:01:50 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SlidePanel.CloseConfirmation' for language Portuguese (Brazil).
22/07/2016 16:10:23 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Home.Rss' for language Portuguese (Brazil).
22/07/2016 16:10:27 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Side.Search.SearchFor' for language Portuguese (Brazil).
22/07/2016 16:10:27 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Side.Search' for language Portuguese (Brazil).
22/07/2016 16:10:27 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Side.Search.Go' for language Portuguese (Brazil).
22/07/2016 16:10:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Points.ThisWeeksHighEarners' for language Portuguese (Brazil).
22/07/2016 16:10:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Topic.HotTopics' for language Portuguese (Brazil).
22/07/2016 16:10:32 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Members.SearchMembers' for language Portuguese (Brazil).
22/07/2016 16:10:32 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Buttons.Edit' for language Portuguese (Brazil).
22/07/2016 16:10:32 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'PM.PrivateMessages' for language Portuguese (Brazil).
22/07/2016 16:10:32 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'LogOn.LogOff' for language Portuguese (Brazil).
22/07/2016 16:10:32 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Latest' for language Portuguese (Brazil).
22/07/2016 16:10:32 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Following' for language Portuguese (Brazil).
22/07/2016 16:10:32 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.PostedIn' for language Portuguese (Brazil).
22/07/2016 16:10:32 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Favourites' for language Portuguese (Brazil).
22/07/2016 16:10:32 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Leaderboard' for language Portuguese (Brazil).
22/07/2016 16:10:32 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Activity' for language Portuguese (Brazil).
22/07/2016 16:10:32 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Badges' for language Portuguese (Brazil).
22/07/2016 16:10:32 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Site.MvcForum' for language Portuguese (Brazil).
22/07/2016 16:10:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Members.SearchMembers' for language Portuguese (Brazil).
22/07/2016 16:10:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Buttons.Edit' for language Portuguese (Brazil).
