21/07/2016 19:47:06 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
21/07/2016 19:54:56 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
21/07/2016 19:55:43 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | Erro de rede ou específico à instância ao estabelecer conexão com o SQL Server. O servidor não foi encontrado ou não estava acessível. Verifique se o nome da instância está correto e se o SQL Server está configurado para permitir conexões remotas. (provider: Named Pipes Provider, error: 40 - Não foi possível abrir uma conexão com o SQL Server) INNER EXCEPTION: O caminho da rede não foi encontrado
21/07/2016 20:00:50 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
21/07/2016 20:01:09 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.AuthorMarkAsSolution.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.AuthorMarkAsSolution.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.AuthorMarkAsSolution.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.AuthorMarkAsSolution.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.AuthorMarkAsSolution.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.AuthorMarkAsSolution.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.AuthorMarkAsSolution.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.AuthorMarkAsSolution.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.AuthorMarkAsSolution.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.AuthorMarkAsSolution.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.AuthorMarkAsSolution.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.AuthorMarkAsSolution.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.FavouriteFirstPost.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.FavouriteFirstPost.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.FavouriteFirstPost.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.FavouriteFirstPost.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.FavouriteFirstPost.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.FavouriteFirstPost.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.FavouriteFirstPost.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.FavouriteFirstPost.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.FavouriteFirstPost.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.FavouriteFirstPost.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.FavouriteFirstPost.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.FavouriteFirstPost.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.TheGrouch.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.TheGrouch.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.TheGrouch.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.TheGrouch.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.TheGrouch.Name' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.TheGrouch.Desc' was not found for the language Setup Language.
21/07/2016 20:01:10 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.TheGrouch.Name' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.TheGrouch.Desc' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.TheGrouch.Name' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.TheGrouch.Desc' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.TheGrouch.Name' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.TheGrouch.Desc' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.JediMaster.Name' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.JediMaster.Desc' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.JediMaster.Name' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.JediMaster.Desc' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.JediMaster.Name' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.JediMaster.Desc' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.JediMaster.Name' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.JediMaster.Desc' was not found for the language Setup Language.
21/07/2016 20:01:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Badge.JediMaster.Name' was not found for the language Setup Language.
